name         x-coord y-coord       conc.    dry dep.    wet dep.    tot.dep.       conc.       conc.
                                     NOx         NOy         NOy         NOy    NO3+HNO3         NO3
                   m       m  ug/m3 NO2    mol/ha/y    mol/ha/y    mol/ha/y        ug/m3       ug/m3
190            17677  762887  0.8330E-05  0.8896E-04  0.1240E-03  0.2129E-03  0.2483E-05  0.4965E-06
190            17677  757887  0.8533E-05  0.9096E-04  0.1248E-03  0.2158E-03  0.2530E-05  0.5060E-06
190            17621  752950  0.8715E-05  0.9274E-04  0.1252E-03  0.2180E-03  0.2571E-05  0.5142E-06
190            16337  749049  0.8826E-05  0.9393E-04  0.1251E-03  0.2190E-03  0.2599E-05  0.5199E-06
191            17612  701776  0.1147E-04  0.1210E-03  0.1347E-03  0.2557E-03  0.3247E-05  0.6495E-06
191            17625  697887  0.1175E-04  0.1239E-03  0.1364E-03  0.2603E-03  0.3311E-05  0.6622E-06
191            17586  692888  0.1215E-04  0.1281E-03  0.1376E-03  0.2657E-03  0.3408E-05  0.6816E-06
191            17538  687890  0.1255E-04  0.1324E-03  0.1387E-03  0.2711E-03  0.3508E-05  0.7015E-06
191            17481  682893  0.1300E-04  0.1372E-03  0.1398E-03  0.2770E-03  0.3618E-05  0.7236E-06
191            17424  677894  0.1346E-04  0.1424E-03  0.1407E-03  0.2831E-03  0.3734E-05  0.7468E-06
191            17369  672897  0.1401E-04  0.1327E-03  0.1417E-03  0.2744E-03  0.3858E-05  0.7716E-06
191            17309  667900  0.1453E-04  0.1375E-03  0.1429E-03  0.2804E-03  0.3985E-05  0.7971E-06
191            17245  662902  0.1506E-04  0.1427E-03  0.1434E-03  0.2862E-03  0.4142E-05  0.8284E-06
191            17180  657902  0.1566E-04  0.1483E-03  0.1448E-03  0.2931E-03  0.4290E-05  0.8581E-06
191            17257  654361  0.1612E-04  0.1524E-03  0.1459E-03  0.2983E-03  0.4393E-05  0.8786E-06
162            19208  410811  0.5274E-04  0.5104E-03  0.1983E-03  0.7086E-03  0.1374E-04  0.7434E-05
162            18195  407429  0.5165E-04  0.5009E-03  0.1969E-03  0.6978E-03  0.1358E-04  0.7499E-05
162            17677  402887  0.5074E-04  0.4910E-03  0.1973E-03  0.6883E-03  0.1347E-04  0.7697E-05
162            17675  397888  0.5013E-04  0.4822E-03  0.1988E-03  0.6811E-03  0.1345E-04  0.8034E-05
159            17107  392827  0.4902E-04  0.4692E-03  0.1986E-03  0.6678E-03  0.1334E-04  0.8286E-05
162            17677  395108  0.4970E-04  0.4770E-03  0.1991E-03  0.6761E-03  0.1341E-04  0.8146E-05
169            19331  392307  0.5042E-04  0.4796E-03  0.2026E-03  0.6822E-03  0.1369E-04  0.8617E-05
159            16397  388266  0.4811E-04  0.4609E-03  0.1997E-03  0.6606E-03  0.1327E-04  0.8375E-05
169            18544  387630  0.4918E-04  0.4674E-03  0.2011E-03  0.6685E-03  0.1350E-04  0.8637E-05
159            15584  383578  0.4704E-04  0.4483E-03  0.1989E-03  0.6473E-03  0.1315E-04  0.8549E-05
169            17869  382823  0.4821E-04  0.4570E-03  0.2014E-03  0.6584E-03  0.1344E-04  0.8797E-05
169            17475  379724  0.4877E-04  0.6345E-03  0.2010E-03  0.8355E-03  0.1334E-04  0.8895E-05
188            15028  377977  0.4835E-04  0.7773E-03  0.1988E-03  0.9761E-03  0.1338E-04  0.9352E-05
190            22365  834942  0.6318E-05  0.6994E-04  0.1137E-03  0.1836E-03  0.1980E-05  0.3959E-06
190            22007  830387  0.6411E-05  0.7093E-04  0.1141E-03  0.1850E-03  0.2003E-05  0.4006E-06
190            22007  825387  0.6544E-05  0.7229E-04  0.1150E-03  0.1873E-03  0.2036E-05  0.4072E-06
190            22007  820387  0.6684E-05  0.7370E-04  0.1161E-03  0.1898E-03  0.2069E-05  0.4139E-06
190            22007  815387  0.6809E-05  0.7505E-04  0.1169E-03  0.1919E-03  0.2101E-05  0.4202E-06
190            22007  810387  0.6949E-05  0.7648E-04  0.1178E-03  0.1943E-03  0.2139E-05  0.4277E-06
190            22007  805387  0.7100E-05  0.7803E-04  0.1188E-03  0.1969E-03  0.2181E-05  0.4363E-06
190            22007  800387  0.7231E-05  0.7939E-04  0.1194E-03  0.1988E-03  0.2220E-05  0.4439E-06
190            22007  795387  0.7387E-05  0.8105E-04  0.1204E-03  0.2014E-03  0.2268E-05  0.4537E-06
190            22007  790387  0.7578E-05  0.8116E-04  0.1228E-03  0.2040E-03  0.2294E-05  0.4588E-06
190            22007  785387  0.7730E-05  0.8262E-04  0.1235E-03  0.2061E-03  0.2332E-05  0.4663E-06
190            22007  780387  0.7909E-05  0.8436E-04  0.1245E-03  0.2089E-03  0.2374E-05  0.4748E-06
190            22007  775387  0.8073E-05  0.8602E-04  0.1252E-03  0.2112E-03  0.2414E-05  0.4829E-06
190            22007  770387  0.8267E-05  0.8795E-04  0.1262E-03  0.2142E-03  0.2461E-05  0.4921E-06
190            22007  765387  0.8475E-05  0.9001E-04  0.1273E-03  0.2173E-03  0.2508E-05  0.5016E-06
190            22007  760387  0.8662E-05  0.9188E-04  0.1279E-03  0.2198E-03  0.2552E-05  0.5105E-06
190            21473  755873  0.8835E-05  0.9358E-04  0.1284E-03  0.2220E-03  0.2592E-05  0.5183E-06
190            20530  752740  0.8899E-05  0.9428E-04  0.1279E-03  0.2221E-03  0.2608E-05  0.5216E-06
191            19809  700455  0.1174E-04  0.1233E-03  0.1369E-03  0.2602E-03  0.3299E-05  0.6599E-06
191            19696  695445  0.1211E-04  0.1271E-03  0.1389E-03  0.2660E-03  0.3385E-05  0.6771E-06
191            19583  690434  0.1251E-04  0.1314E-03  0.1399E-03  0.2713E-03  0.3483E-05  0.6966E-06
191            19470  685422  0.1294E-04  0.1359E-03  0.1410E-03  0.2769E-03  0.3587E-05  0.7174E-06
191            19357  680408  0.1340E-04  0.1409E-03  0.1419E-03  0.2828E-03  0.3700E-05  0.7399E-06
191            19271  675398  0.1388E-04  0.1462E-03  0.1429E-03  0.2891E-03  0.3819E-05  0.7639E-06
191            19186  670392  0.1446E-04  0.1363E-03  0.1439E-03  0.2803E-03  0.3949E-05  0.7898E-06
162            23263  414250  0.5611E-04  0.5362E-03  0.2028E-03  0.7389E-03  0.1430E-04  0.7665E-05
162            22028  410359  0.5469E-04  0.5242E-03  0.2009E-03  0.7252E-03  0.1412E-04  0.7779E-05
